;0;1;2
0;0,162505627;176;66
1;0,050029278;176;66
2;0,061339617;176;66
3;0,051805735;176;66
4;0,087892294;176;66
5;0,075644255;176;66
6;0,061194181;176;66
7;0,055203915;176;66
8;0,048439503;176;66
9;0,066909313;176;66
10;0,062391281;176;66
11;0,061240673;176;66
12;0,052221775;176;66
13;0,056637764;176;66
14;0,09253788;176;66
15;0,076319456;176;66
16;0,052320957;176;66
17;0,11798048;176;66
18;0,069206238;176;66
19;0,072273254;176;66
20;0,092966557;176;66
21;0,078253984;176;66
22;0,061615705;176;66
23;0,046497107;176;2
24;0,062188148;176;2
25;0,063662767;176;2
26;0,069559097;176;2
27;0,056392193;176;2
28;0,066775322;176;2
29;0,042567968;176;2
30;0,063318491;176;2
31;0,053126812;176;2
32;0,054218769;176;2
33;0,109632492;176;2
34;0,067771912;176;2
35;0,050024986;176;2
36;0,0690763;176;2
37;0,046496868;176;2
38;0,062268972;176;2
39;0,061712742;176;2
40;0,062130213;176;2
41;0,04669261;176;2
42;0,076907158;176;2
43;0,078734398;176;2
44;0,047114611;176;2
45;0,047256947;176;2
46;0,051656961;176;2
47;0,087459087;176;2
48;0,062234879;176;2
49;0,08408165;176;2
50;0,036339998;176;2
51;0,018037081;176;2
52;0,023199081;176;2
53;0,061650753;176;2
54;0,076670885;176;2
55;0,062048912;176;2
56;0,061975718;176;2
57;0,061547995;176;2
58;0,078123093;176;2
59;0,05242753;176;2
60;0,056392431;176;2
61;0,062795877;176;2
62;0,062732458;176;2
63;0,024710178;176;2
64;0,037327766;176;2
65;0,036031723;176;2
66;0,056358337;176;2
67;0,094377518;176;2
68;0,094122648;176;2
69;0,030337095;176;2
70;0,062728167;176;2
71;0,063160419;176;2
72;0,092957258;176;2
73;0,047271967;176;2
74;1,059762716;176;2
75;0,046411037;176;2
76;0,036000729;176;2
77;0,072008371;176;2
78;0,06315589;176;2
79;0,049097776;176;2
80;0,023950815;176;2
81;0,059383869;176;2
82;0,071971416;176;2
83;0,061549187;176;2
84;0,047413588;176;2
85;0,036793947;176;2
86;0,057058096;176;2
87;0,07656908;176;2
88;0,063531637;176;2
89;0,068903446;176;2
90;0,062180519;176;66
91;0,040079594;176;66
92;0,063230276;176;66
93;0,077049017;176;66
94;0,039057255;176;66
95;0,0699718;176;66
96;0,047059774;176;66
97;0,062193632;176;66
98;0,046689987;176;66
99;0,077138186;176;66
100;0,048146248;176;66
101;0,04728508;176;66
102;0,04664135;176;66
103;0,061492443;176;66
104;0,062241793;176;66
105;0,163319826;176;66
106;0,064911127;176;66
107;0,036658764;176;66
108;0,071058989;176;66
109;0,062237978;176;66
110;0,667653084;176;66
111;0,068649769;176;66
112;0,063466072;176;66
113;0,062069416;176;66
114;0,02145195;176;66
115;0,086999655;176;66
116;0,062316179;176;66
117;0,035555363;176;66
118;0,056803465;176;66
119;1,032649517;176;66
120;0,031010866;176;66
121;0,012502193;176;66
122;0,035107374;176;66
123;0,051698446;176;66
124;0,05714345;176;66
125;0,076305628;176;66
126;0,07881546;176;66
127;0,062252522;176;66
128;0,135419369;176;66
129;0,062205553;176;66
130;0,046875;176;66
131;0,04614234;176;66
132;0,064267159;176;66
133;0,057996988;176;66
134;0,001003742;144;127
135;0;144;0
136;0;144;127
137;0;144;0
138;0;144;127
139;0;144;0
140;0;144;127
141;0;144;0
142;0;224;126
143;0,00561285;224;125
144;0,025436401;224;124
145;0,005006075;224;123
146;0,025929213;224;122
147;0,01585865;224;121
148;0,029803753;224;120
149;0,008332729;224;119
150;0,020113468;224;118
151;0,006754637;224;117
152;0,028679609;224;116
153;0,01630187;224;115
154;0,028594732;224;114
155;0,010804176;224;113
156;0,028027058;224;112
157;0,033471107;224;111
158;0,027372837;224;110
159;0,03097868;224;109
160;0,031053066;224;108
161;0,015929222;224;107
162;0,030062675;224;106
163;0,031229258;224;105
164;0,016038418;224;104
165;0,016009092;224;103
166;0,007241726;224;102
167;0,021535873;224;101
168;0,020433664;224;100
169;0,031303644;224;99
170;0,030784369;224;98
171;0,032056808;224;97
172;0,095136404;224;96
173;0,015348673;224;95
174;0,005012989;224;94
175;0,025588751;224;93
176;0,087333679;224;92
177;0,020941257;224;91
178;0,03105855;224;90
179;0,092454195;224;89
180;0,030617476;224;88
181;0,087765217;224;87
182;0,006174564;224;86
183;0,00970149;224;85
184;0,075798512;224;84
185;0,048200846;224;83
186;0,030661345;224;82
187;0,005979538;224;81
188;0,025146246;224;80
189;0,106609344;224;79
190;0,099854469;224;78
191;0,00581789;224;77
192;0,025484085;224;76
193;0,031041145;224;75
194;0,072202444;224;74
195;0,016194105;224;73
196;0,017032146;224;72
197;0,004737139;224;71
198;0,126498222;224;70
199;0,011781693;224;69
200;0,005040884;224;68
201;0,030800343;224;67
202;0,118283272;224;66
203;0,062636375;224;65
204;0,121435165;224;64
205;0,030940771;224;63
206;0,005046368;224;62
207;0,025476456;224;61
208;0,102470398;224;60
209;0,016227484;224;59
210;0,005995989;224;58
211;0,061678648;176;2
212;0,140395403;176;2
213;0,04797864;176;2
214;0,069964409;176;2
215;0,047214508;176;2
216;0,047945976;176;2
217;0,037594557;176;2
218;0,070462465;176;2
219;0,047917366;176;2
220;0,057179928;176;2
221;0,062836885;176;2
222;0,061811209;176;2
223;0,036033154;176;2
224;0,019122124;176;2
225;0,038276911;176;2
226;0,037536621;176;2
227;0,054152012;176;2
228;0,068589211;176;2
229;0,015802145;176;2
230;0,04185915;176;2
231;0,078091621;176;2
232;0,091762304;176;2
233;0,093896389;176;2
234;0,046786308;176;2
235;0,061305046;176;2
236;0,079301596;176;2
237;0,061124325;176;2
238;0,106589794;176;66
239;0,058374166;176;66
240;0,048542976;176;66
241;0,047057629;176;66
242;0,063350439;176;66
243;0,094423532;176;66
244;0,037175179;176;66
245;0,085601091;176;66
246;0,048151493;176;66
247;0,062735558;176;66
248;0,036425591;176;66
249;0,057430267;176;66
250;0,061592579;176;66
251;0,052151442;176;66
252;0,047123432;176;66
253;0,072263956;176;66
254;0;144;127
255;0,008051634;144;0
256;0,001000166;224;59
257;0,006225586;224;60
258;0,026942015;224;61
259;0,031623363;224;62
260;0,060638189;224;63
261;0,12415719;224;64
262;0,015962839;224;65
263;0,030268669;224;66
264;0,006012917;224;67
265;0,024691343;224;68
266;0,030116796;224;69
267;0,015275002;224;70
268;0,015679598;224;71
269;0,016122818;224;72
270;0,030304193;224;73
271;0,030346155;224;74
272;0,016085148;224;75
273;0,015569687;224;76
274;0,015707016;224;77
275;0,007313728;224;78
276;0,023911476;224;79
277;0,03113699;224;80
278;0,031333447;224;81
279;0,031721115;224;82
280;0,031242371;224;83
281;0,007270813;224;84
282;1,447122574;176;2
283;0,04809165;176;2
284;0,06388998;176;2
285;0,093545437;176;2
286;0,187931061;176;2
287;0,046868563;176;2
288;0,077620268;176;2
289;0,048093557;176;2
290;0,052935839;176;2
291;0,086262465;176;2
292;0,048854828;176;2
293;0,137621164;176;2
294;0,059025764;176;2
295;0,318578005;176;2
296;0,253172398;176;2
297;0,075557709;176;2
298;0,067315102;176;2
299;0,261976242;176;2
300;0,058914423;176;2
301;0,062107563;176;2
302;0,429722548;176;2
303;0,180615664;176;2
304;0,15811944;176;2
305;0,090157509;176;2
306;0,047319174;176;2
307;0,089233637;176;2
308;0,108066797;176;2
309;0,046411991;176;2
310;0,24255228;176;2
311;0,061070919;176;2
312;0,107403517;176;66
313;0,304438114;176;66
314;0,062288523;176;66
315;1,023578644;176;66
316;0,476189137;176;66
317;0,065635681;176;66
318;0,058267355;176;66
319;0,079109907;176;66
320;0,04668808;176;66
321;0,061943531;176;66
322;0,109500408;176;66
323;0,349586248;176;66
324;0,349145651;176;66
325;0,060551882;176;66
326;0,12290144;176;66
327;0,216161251;176;66
328;1,041511059;176;66
329;0,048056364;176;66
330;0,530386209;176;66
331;0,164190292;176;66
332;0,132739782;176;66
333;0,241627693;176;66
334;0,167011738;176;68
335;0,089598656;176;66
336;0,038300037;176;66
337;0,359168291;176;66
338;0,895775318;176;66
339;0,063348293;176;66
340;0,051911354;176;66
341;0,01600337;176;66
342;0,041062117;176;127
343;0,056644201;176;127
344;0,046156883;176;127
345;0,048010826;176;127
346;0,057479143;176;127
347;0,067804575;176;127
348;0,099045992;176;127
349;0,060345411;176;127
350;0,046667099;176;127
351;0,248110533;176;127
352;0,662011862;176;127
353;0,253675222;176;127
354;0,099296093;176;127
355;0,04787302;176;127
356;0,048092127;176;127
357;0,078522444;176;127
358;0,062321901;176;2
359;0,758204937;176;2
360;0,069877148;176;2
361;0,207978725;176;2
362;0,268993616;176;2
363;0,340701103;176;2
364;0,057909489;176;2
365;0,060522318;176;2
366;0,360126495;176;2
367;0,26875782;176;2
368;0,345498562;176;2
369;0,061036825;176;2
370;0,077259302;176;2
371;0,053258657;176;2
372;0,264662266;176;2
373;0,037335634;176;2
374;0,251039267;176;2
375;0,176143169;176;2
376;0,167409897;176;2
377;0,180904865;176;2
378;0,129663706;176;2
379;0,238763332;176;2
380;0,078803301;176;2
381;0,193795681;176;2
382;0,0723629;176;2
383;0,061347961;176;2
384;1,184745312;176;2
385;0,082267284;176;2
386;0,08795476;176;2
387;0,06787324;176;2
388;0,001022339;144;127
389;0;144;0
390;0;144;127
391;0,000981569;144;0
392;0;144;127
393;0;144;0
394;0,001007557;144;127
395;0;144;0
396;0;144;127
397;0;144;0
398;0;224;83
399;0,016831398;224;82
400;0,015150547;224;81
401;0,015732527;224;79
402;0,007363081;224;78
403;0,005005121;224;77
404;0,004390955;224;76
405;0,029634237;224;75
406;0,016016483;224;74
407;0,032039404;224;73
408;0,016035557;224;72
409;0,016011715;224;71
410;0,016001225;224;70
411;0,016044855;224;69
412;0,015407085;224;68
413;0,015788078;224;67
414;0,031105042;224;66
415;0,031011581;224;65
416;0,030855179;224;64
417;0,031293869;224;63
418;0,030157804;224;62
419;0,032018185;224;61
420;0,030868053;224;60
421;0,006038904;224;59
422;0,007013798;224;58
423;0,019008398;224;57
424;0,010000944;224;56
425;0,006002426;224;55
426;0,004749537;224;54
427;0,004678249;224;53
428;0,006005526;224;52
429;0,006819248;224;51
430;0,005989313;224;50
431;0,006390572;224;48
432;0,025770426;224;47
433;0,030901909;224;46
434;0,030982733;224;45
435;0,016017437;224;44
436;0,016039133;224;43
437;0,032017469;224;42
438;0,029805422;224;41
439;0,0313344;224;40
440;0,015189171;224;39
441;0,006736755;224;38
442;0,024048328;224;37
443;0,015192509;224;36
444;0,016038895;224;35
445;0,030937195;224;34
446;0,009494781;224;33
447;0,023028612;224;32
448;0,028300524;224;31
449;0,005007505;224;30
450;0,022516727;224;29
451;0,005161047;224;28
452;1,009253979;224;27
453;0,028008223;224;26
454;0,016083241;224;25
455;0,031062126;224;24
456;0,005190849;224;23
457;0,025372267;224;22
458;0,006011248;224;21
459;0,025974274;224;20
460;0,004997969;224;19
