;0;1;2
0;0;144;127
1;0;144;0
2;0;144;127
3;0;144;0
4;0;224;63
5;1,184826612;224;64
6;0;224;80
7;0;224;91
8;0,152913094;224;92
9;0;224;108
10;0;224;119
11;0,147963285;224;120
12;0;224;126
13;0,18205142;224;125
14;0;224;109
15;0,180221081;224;99
16;0;224;87
17;0,131065369;224;86
18;0;224;78
19;0,175327301;224;77
20;0;224;62
21;0,13113308;224;61
22;0;224;48
23;0,147640944;224;47
24;0;224;34
25;0,169446468;224;33
26;0;224;17
27;0,160055876;224;14
28;0;224;1
29;0,152943373;224;0
30;0;224;1
31;0,181680441;224;2
32;0;224;18
33;0,177859068;224;24
34;0;224;38
35;0,15279603;224;39
36;0;224;47
37;0,138004541;224;48
38;0;224;64
39;0,18484807;224;65
40;0;224;81
41;0;224;92
42;0,180864573;224;93
43;0;224;109
44;0;224;120
45;0,169985771;224;121
46;0,008043528;224;126
47;0,186130285;224;125
48;0;224;109
49;0;224;97
50;0,175498247;224;96
51;0;224;78
52;0;224;66
53;0,140063286;224;65
54;0;224;47
55;0;224;35
56;0,149297476;224;34
57;0;224;17
58;0,000988007;224;6
59;0,178483963;224;5
60;0;224;1
61;0,163421154;224;2
62;0;224;19
63;0;224;30
64;0,169454098;224;31
65;0;224;48
66;0;224;61
67;0,160068989;224;62
68;0;224;80
69;0;224;92
70;0,155329943;224;93
71;0;224;110
72;0;224;123
73;0,184914827;224;124
74;0,002046824;224;126
75;0,16270256;224;125
76;0;224;107
77;0;224;94
78;0,169086218;224;93
79;0;224;76
80;0;224;65
81;0,1570158;224;63
82;0,000703096;224;46
83;0;224;33
84;0,142754793;224;32
85;0;224;15
86;0;224;4
87;0,11004734;224;3
88;0;224;2
89;0,091863394;224;0
90;0,001003504;224;11
91;0;224;43
92;0,189836025;224;44
93;0;224;0
94;0,153399229;224;9
95;0;224;28
96;0;224;40
97;0,146578789;224;41
98;0;224;59
99;0,185184479;224;67
100;0;224;84
101;0;224;96
102;0,147714138;224;97
103;0;224;115
104;0;224;126
105;0,169633865;224;123
106;0;224;105
107;0,15405941;224;109
108;0;224;119
109;0,169162273;224;127
110;0;224;125
111;0,138181925;224;124
112;0;224;107
113;0;224;96
114;0,173120499;224;95
115;0;224;78
116;0;224;67
117;0,17381978;224;66
118;0;224;49
119;0;224;38
120;0,169922113;224;37
121;0;224;21
122;0,180613756;224;15
123;0;224;39
124;0,000344038;224;1
125;0,176975965;224;2
126;0;224;20
127;0;224;32
128;0,153377295;224;34
129;0;224;52
130;0;224;66
131;0,149892807;224;68
132;0;224;85
133;0,000997066;224;97
134;0,148838758;224;98
135;0;224;116
136;0;224;127
137;0,001675606;224;112
138;0,166553259;224;109
139;0;224;103
140;0,164086819;224;102
141;0;224;98
142;0;224;112
143;0,169001102;224;117
144;0;224;123
145;0,168757677;224;121
146;0;224;104
147;0;224;93
148;0,178028584;224;92
149;0;224;73
150;0;224;61
151;0,215484381;224;60
152;0;224;42
153;0;224;30
154;0,152878284;224;29
155;0;224;13
156;0;224;1
157;0,253423929;224;0
158;0;224;1
159;0;224;12
160;0,247165918;224;13
161;0;224;31
162;0;224;43
163;0,302764416;224;44
164;0;224;72
165;0,281847715;224;65
166;0;224;83
167;0;224;95
168;0,165449619;224;96
169;0;224;113
170;0,166432381;224;123
171;0,000515699;224;120
172;0;224;94
173;0,346464396;224;90
174;0;224;106
175;0,322678089;224;115
176;0;224;117
177;0;224;103
178;0,365572453;224;101
179;0;224;84
180;0;224;72
181;0,172064781;224;71
182;0;224;54
183;0;224;42
184;0,332820415;224;41
185;0;224;23
186;0,363792419;224;14
187;0,001003265;224;5
188;0,344945669;224;0
189;0,001008272;224;36
190;0;224;4
191;0,322415352;224;5
192;0;224;25
193;0,000992537;224;38
194;0,214393139;224;39
195;0;224;54
196;0,247232914;224;58
197;0;224;68
198;0;224;79
199;0,169219255;224;80
200;0;224;97
201;0;224;109
202;0,21579361;224;110
203;0;224;122
204;0,153454065;224;114
205;0,001081228;224;87
206;0;224;127
207;0,198659897;224;120
208;0;224;127
209;0;224;105
210;0,267377615;224;109
211;0;224;112
212;0;224;127
213;0,196036339;224;120
214;0;224;116
215;0;224;104
216;0,353832245;224;103
217;0;224;84
218;0;224;72
219;0,331536293;224;71
220;0;224;53
221;0;224;40
222;0,353347778;224;39
223;0;224;21
224;0;224;9
225;0,331840515;224;8
226;0;224;44
227;0;224;32
228;0,128556013;224;36
229;0;224;26
230;0;224;37
231;0,240448952;224;36
232;0;224;31
233;0,300611734;224;30
234;0;224;35
235;0,140470982;224;40
236;0;224;23
237;0,159444571;224;17
238;0;224;5
239;0,14703536;224;0
240;0;224;1
241;0;224;14
242;0,127603292;224;15
243;0;224;34
244;0;224;48
245;0,142560005;224;50
246;0;224;59
247;0,184614658;224;59
248;0;224;69
249;0;229;52
250;0;144;127
251;0;144;0
252;0;224;71
253;0,17333746;224;72
254;0;224;89
255;0;224;100
256;0,204798222;224;101
257;0;224;119
258;0;224;95
259;0,153879642;224;90
260;0;224;106
261;0;224;94
262;0,184666157;224;92
263;0;224;95
264;0,200209856;224;97
265;0;224;87
266;0;224;105
267;0,184780598;224;107
268;0;224;124
269;0,15273881;224;120
270;0;224;102
271;0;224;90
272;0,178470135;224;89
273;0;224;70
274;0;224;55
275;0,184705496;224;53
276;0;224;36
277;0;224;0
278;0,168579817;224;1
279;0;224;9
280;0;224;123
281;0,168745279;224;122
282;0;224;104
283;0;224;45
284;0,178704739;224;44
285;0;224;23
286;0;144;127
287;0;144;0
288;0;224;33
